station_cd|station_nm|line_num
0153|종로3가|01호선
0154|종로5가|01호선
0155|동대문|01호선
0156|신설동|01호선
0157|제기동|01호선
0158|청량리|01호선
0159|동묘앞|01호선
0200|까치산|02호선
0201|시청|02호선
0202|을지로입구|02호선
0203|을지로3가|02호선
0204|을지로4가|02호선
0205|동대문역사문화공원|02호선
0206|신당|02호선
0207|상왕십리|02호선
0208|왕십리|02호선
0209|한양대|02호선
0210|뚝섬|02호선
0211|성수|02호선
0212|건대입구|02호선
0213|구의|02호선
0214|강변|02호선
0215|잠실나루|02호선
0216|잠실|02호선
0217|잠실새내|02호선
0218|종합운동장|02호선
0219|삼성|02호선
0220|선릉|02호선
0221|역삼|02호선
0222|강남|02호선
0223|교대|02호선
0224|서초|02호선
0225|방배|02호선
0226|사당|02호선
0227|낙성대|02호선
0228|서울대입구|02호선
0229|봉천|02호선
0230|신림|02호선
0231|신대방|02호선
0232|구로디지털단지|02호선
0234|신도림|02호선
0235|문래|02호선
0236|영등포구청|02호선
0237|당산|02호선
0238|합정|02호선
0239|홍대입구|02호선
0240|신촌(경의중앙선)|02호선
0241|이대|02호선
0242|아현|02호선
0243|충정로|02호선
0244|용답|02호선
0245|신답|02호선
0249|신정네거리|02호선
0300|대곡|경의선
0309|지축|03호선
0310|구파발|03호선
0311|연신내|03호선
0312|불광|03호선
0313|녹번|03호선
0314|홍제|03호선
0315|무악재|03호선
0316|독립문|03호선
0317|경복궁|03호선
0318|안국|03호선
0319|종로3가|03호선
0320|을지로3가|03호선
0321|충무로|03호선
0322|동대입구|03호선
0323|약수|03호선
0324|금호|03호선
0325|옥수|03호선
0326|압구정|03호선
0327|신사|03호선
0328|잠원|03호선
0329|고속터미널|03호선
0330|교대|03호선
0331|남부터미널|03호선
0332|양재|03호선
0333|매봉|03호선
0334|도곡|03호선
0335|대치|03호선
0336|학여울|03호선
0337|대청|03호선
0338|일원|03호선
0339|수서|03호선
0340|가락시장|03호선
0341|경찰병원|03호선
0342|오금|03호선
0409|당고개|04호선
0410|상계|04호선
0411|노원|04호선
0412|창동|04호선
0413|쌍문|04호선
0414|수유|04호선
0415|미아|04호선
0416|미아사거리|04호선
0417|길음|04호선
0418|성신여대입구|04호선
0419|한성대입구|04호선
0420|혜화|04호선
0421|동대문|04호선
0422|동대문역사문화공원|04호선
0423|충무로|04호선
0424|명동|04호선
0425|회현|04호선
0426|서울|04호선
0427|숙대입구|04호선
0428|삼각지|04호선
0429|신용산|04호선
0430|이촌|04호선
0431|동작|04호선
0432|총신대입구(총신대입구(이수))|04호선
0433|사당|04호선
0434|남태령|04호선
1002|남영|01호선
1003|용산|01호선
1004|노량진|01호선
1005|대방|01호선
1006|영등포|01호선
1007|신도림|01호선
1008|이촌|경의선
1009|서빙고|경의선
1010|한남|경의선
1011|옥수|경의선
1012|응봉|경의선
1013|왕십리|경의선
1014|청량리|경의선
1015|회기|01호선
1016|외대앞|01호선
1017|신이문|01호선
1018|석계|01호선
1019|광운대|01호선
1020|월계|01호선
1021|녹천|01호선
1022|창동|01호선
1023|선릉|분당선
1024|한티|분당선
1025|도곡|분당선
1026|구룡|분당선
1027|개포동|분당선
1028|대모산입구|분당선
102C|왕십리|분당선
1030|수서|분당선
1031|복정|분당선
1032|신길|01호선
1201|중랑|경의선
1202|상봉|경의선
1203|망우|경의선
1204|양원|경의선
1205|구리|경의선
1206|도농|경의선
1207|양정|경의선
1208|덕소|경의선
1209|도심|경의선
1210|팔당|경의선
1211|운길산|경의선
1212|양수|경의선
1213|신원|경의선
1214|국수|경의선
1215|아신|경의선
1216|오빈|경의선
1217|양평|경의선
1218|원덕|경의선
1219|용문|경의선
1220|지평|경의선
1251|서울|경의선
1252|신촌(경의중앙선)|경의선
1261|효창공원앞|경의선
1262|공덕|경의선
1263|서강대|경의선
1264|홍대입구|경의선
1266|디지털미디어시티|경의선
1267|수색|경의선
1268|화전|경의선
1269|강매|경의선
1270|행신|경의선
1271|능곡|경의선
1272|곡산|경의선
1273|백마|경의선
1274|풍산|경의선
1275|일산|경의선
1276|탄현|경의선
1277|야당|경의선
1278|운정|경의선
1279|금릉|경의선
1280|금촌|경의선
1282|월롱|경의선
1283|파주|경의선
1284|문산|경의선
1305|광운대|경춘선
1306|청량리|경춘선
1309|상봉|경춘선
1310|망우|경춘선
1311|신내|경춘선
1312|갈매|경춘선
1313|별내|경춘선
1314|퇴계원|경춘선
1315|사릉|경춘선
1316|금곡|경춘선
1317|평내호평|경춘선
1318|천마산|경춘선
1319|마석|경춘선
1320|대성리|경춘선
1321|청평|경춘선
1322|상천|경춘선
1323|가평|경춘선
1324|굴봉산|경춘선
1325|백양리|경춘선
1326|강촌|경춘선
1327|김유정|경춘선
1328|남춘천|경춘선
1329|춘천|경춘선
1401|봉명|01호선
1402|쌍용(나사렛대)|01호선
1403|아산|01호선
1405|배방|01호선
1407|온양온천|01호선
1408|신창|01호선
1450|선바위|04호선
1451|경마공원|04호선
1452|대공원|04호선
1453|과천|04호선
1454|정부과천청사|04호선
1455|인덕원|04호선
1456|평촌|04호선
1457|범계|04호선
1458|금정|04호선
1501|판교|경강선
1502|이매|경강선
1503|삼동|경강선
1504|경기광주|경강선
1505|초월|경강선
1506|곤지암|경강선
1507|신둔도예촌|경강선
1508|이천|경강선
1509|부발|경강선
1510|세종대왕릉|경강선
1511|여주|경강선
1701|구로|01호선
1702|가산디지털단지|01호선
1703|금천구청|01호선
1704|석수|01호선
1705|관악|01호선
1706|안양|01호선
1307|회기|경춘선
1707|명학|01호선
1708|금정|01호선
1709|군포|01호선
1710|의왕|01호선
1711|성균관대|01호선
1712|화서|01호선
1713|수원|01호선
1714|독산|01호선
1715|세류|01호선
1716|병점|01호선
1717|세마|01호선
1718|오산대|01호선
1719|오산|01호선
1720|진위|01호선
1721|송탄|01호선
1722|서정리|01호선
1723|지제|01호선
1724|평택|01호선
1725|성환|01호선
1726|직산|01호선
1727|두정|01호선
1728|천안|01호선
1729|당정|01호선
1749|서동탄|01호선
1750|광명|01호선
1751|산본|04호선
1752|대야미|04호선
1753|반월|04호선
1754|상록수|04호선
1755|한대앞|04호선
1756|중앙|04호선
1757|고잔|04호선
1758|초지|04호선
1759|안산|04호선
1760|신길온천|04호선
1761|정왕|04호선
1762|오이도|04호선
1763|수리산|04호선
1800|오이도|수인선
1801|개봉|01호선
1802|오류동|01호선
1803|역곡|01호선
1804|부천|01호선
1805|송내|01호선
1806|부평|01호선
1807|백운|01호선
1808|동암|01호선
1809|주안|01호선
1810|제물포|01호선
1811|동인천|01호선
1812|인천|01호선
1813|구일|01호선
1814|소사|01호선
1815|부개|01호선
1816|간석|01호선
1817|도원|01호선
1821|온수|01호선
1822|중동|01호선
1823|도화|01호선
1845|청량리|분당선
1847|서울숲|분당선
1848|압구정로데오|분당선
1849|강남구청|분당선
1850|선정릉|분당선
1851|가천대|분당선
1852|태평|분당선
1853|모란|분당선
1854|야탑|분당선
1855|서현|분당선
1856|수내|분당선
1857|정자|분당선
1858|미금|분당선
1859|오리|분당선
1860|이매|분당선
1861|보정|분당선
1862|죽전|분당선
1864|신갈|분당선
1866|상갈|분당선
1867|청명|분당선
1868|영통|분당선
1869|망포|분당선
1870|매탄권선|분당선
1871|수원시청|분당선
1872|매교|분당선
1878|달월|수인선
1879|월곶|수인선
1880|소래포구|수인선
1881|인천논현|수인선
1882|호구포|수인선
1883|남동인더스파크|수인선
1884|원인재|수인선
1885|연수|수인선
1886|송도|수인선
1888|인하대|수인선
1889|숭의|수인선
1890|신포|수인선
1891|인천|수인선
1901|방학|01호선
1902|도봉|01호선
1903|도봉산|01호선
1904|망월사|01호선
1905|회룡|01호선
1906|의정부|01호선
1907|가능|01호선
1908|녹양|01호선
1909|양주|01호선
1910|덕계|01호선
1911|덕정|01호선
1912|지행|01호선
1913|동두천중앙|01호선
1914|보산|01호선
1915|동두천|01호선
1916|소요산|01호선
1948|원흥|03호선
1950|삼송|03호선
1951|원당|03호선
1953|대곡|03호선
1954|백석|03호선
1955|마두|03호선
1956|정발산|03호선
1957|주엽|03호선
1958|대화|03호선
2511|방화|05호선
2512|개화산|05호선
1863|구성|분당선
2513|김포공항|05호선
2514|송정|05호선
2515|마곡|05호선
2516|발산|05호선
2517|우장산|05호선
2518|화곡|05호선
2519|까치산|05호선
2520|신정|05호선
2521|목동|05호선
2522|오목교|05호선
2523|양평|05호선
2524|영등포구청|05호선
2525|영등포시장|05호선
2526|신길|05호선
2527|여의도|05호선
2528|여의나루|05호선
2529|마포|05호선
2530|공덕|05호선
2531|애오개|05호선
2532|충정로|05호선
2533|서대문|05호선
2534|광화문|05호선
2535|종로3가|05호선
2536|을지로4가|05호선
2537|동대문역사문화공원|05호선
2538|청구|05호선
2539|신금호|05호선
2540|행당|05호선
2541|왕십리|05호선
2542|마장|05호선
2543|답십리|05호선
2544|장한평|05호선
2545|군자|05호선
2546|아차산|05호선
2547|광나루|05호선
2548|천호|05호선
2549|강동|05호선
2550|길동|05호선
2551|굽은다리|05호선
2552|명일|05호선
2553|고덕|05호선
2554|상일동|05호선
2555|둔촌동|05호선
2556|올림픽공원|05호선
2557|방이|05호선
2558|오금|05호선
2559|개롱|05호선
2560|거여|05호선
2561|마천|05호선
2611|응암|06호선
2612|역촌|06호선
2613|불광|06호선
2614|독바위|06호선
2615|연신내|06호선
2616|구산|06호선
2617|새절|06호선
2618|증산|06호선
2619|디지털미디어시티|06호선
2620|월드컵경기장|06호선
2621|마포구청|06호선
2622|망원|06호선
2624|상수|06호선
2625|광흥창|06호선
2626|대흥|06호선
2627|공덕|06호선
2628|효창공원앞|06호선
2629|삼각지|06호선
2630|녹사평|06호선
2631|이태원|06호선
2632|한강진|06호선
2633|버티고개|06호선
2634|약수|06호선
2635|청구|06호선
2636|신당|06호선
2637|동묘앞|06호선
2638|창신|06호선
2639|보문|06호선
2640|안암|06호선
2641|고려대|06호선
2642|월곡|06호선
2643|상월곡|06호선
2644|돌곶이|06호선
2645|석계|06호선
2646|태릉입구|06호선
2647|화랑대|06호선
2648|봉화산|06호선
2711|장암|07호선
2712|도봉산|07호선
2713|수락산|07호선
2714|마들|07호선
2715|노원|07호선
2716|중계|07호선
2717|하계|07호선
2718|공릉|07호선
2719|태릉입구|07호선
2720|먹골|07호선
2721|중화|07호선
2722|상봉|07호선
2723|면목|07호선
2724|사가정|07호선
2623|합정|06호선
2725|용마산|07호선
2726|중곡|07호선
2727|군자|07호선
2728|어린이대공원|07호선
2729|건대입구|07호선
2730|뚝섬유원지|07호선
2731|청담|07호선
2732|강남구청|07호선
2733|학동|07호선
2734|논현|07호선
2735|반포|07호선
2736|고속터미널|07호선
2737|내방|07호선
2738|총신대입구(이수)|07호선
2739|남성|07호선
2740|숭실대입구|07호선
2741|상도|07호선
2742|장승배기|07호선
2743|신대방삼거리|07호선
2744|보라매|07호선
2745|신풍|07호선
2746|대림|07호선
2747|남구로|07호선
2748|가산디지털단지|07호선
2749|철산|07호선
2750|광명사거리|07호선
2751|천왕|07호선
2752|온수|07호선
2753|까치울|07호선
2754|부천종합운동장|07호선
2755|춘의|07호선
2756|신중동|07호선
2757|부천시청|07호선
2758|상동|07호선
2759|삼산체육관|07호선
2760|굴포천|07호선
2761|부평구청|07호선
2811|암사|08호선
2812|천호|08호선
2813|강동구청|08호선
2814|몽촌토성|08호선
2815|잠실|08호선
2816|석촌|08호선
2817|송파|08호선
2818|가락시장|08호선
2819|문정|08호선
2820|장지|08호선
2821|복정|08호선
2822|산성|08호선
2823|남한산성입구|08호선
2824|단대오거리|08호선
2825|신흥|08호선
2826|수진|08호선
2827|모란|08호선
3110|계양|인천선
3111|귤현|인천선
3112|박촌|인천선
3113|임학|인천선
3114|계산|인천선
3115|경인교대입구|인천선
3116|작전|인천선
3117|갈산|인천선
3118|부평구청|인천선
3119|부평시장|인천선
3120|부평|인천선
3121|동수|인천선
3122|부평삼거리|인천선
3123|간석오거리|인천선
3124|인천시청|인천선
3125|예술회관|인천선
3126|인천터미널|인천선
3127|문학경기장|인천선
3128|선학|인천선
3129|신연수|인천선
3130|원인재|인천선
3131|동춘|인천선
3132|동막|인천선
3133|캠퍼스타운|인천선
3134|테크노파크|인천선
3135|지식정보단지|인천선
